"lat";"lon";"description";"nameObject";"numberMark";"typeObject";"address";"id"
"56.466176";"84.956255";"Музей деревянного зодчества";"Дом Крячкова";"1";"Архитектура";"Пр. Кирова, 7";"1"
"56.471089";"84.96433";"Дом с жар-птицами";"Дом Желябо";"5";"Архитектура";"Ул. Красноармейская, 67";"2"
"56.472287";"84.965983";"Дом с драконами";"Дом Быстржицкого";"6";"Архитектура";"Ул. Красноармейская, 68";"3"
"56.469771";"84.964807";"Дом с шатром, русско-немецкий дом";"Дом Голованова";"4";"Архитектура";"Ул. Красноармейская, 71";"4"
"56.46911";"84.954763";"Дом со шпилем";"Дом Василькова";"2";"Архитектура";"Ул. Кузнецова, 17";"5"
"56.471109";"84.957656";"Дом «Изумрудный город»";"Дом Хомича";"3";"Архитектура";"Ул. Белинского, 19";"6"
"56.477721";"84.951925";"Хостел «Дом охотника»";"Дом Громова";"11";"Архитектура";"Ул. Гагарина, 42";"7"
"56.484387";"84.953344";"Гостиница «Купеческий дом»";"Дом Сапожникова";"12";"Архитектура";"Пер. Батенькова, 7";"8"
"56.488075";"84.956838";"Дом искусств";"Усадьба Шишкова";"14";"Архитектура";"Ул. Шишкова, 10";"9"
"56.475867";"84.945268";;"Дом Москова";"8";"Архитектура";"Ул. Татарская, 46";"10"
"56.488875";"84.952742";"Спасская башня на Воскресенской горе";"Спасская башня";"13";"Архитектура";"Ул. Бакунина, 3";"11"
"56.472093";"84.963675";;"Дом Оржешко";"7";"Архитектура";"Ул. Вершинина, 12";"12"
"56.477507";"84.951808";;"Дом на Гагарина";"10";"Архитектура";"Ул. Гагарина 44";"13"
"56.477209";"84.951817";;"Дом на Гагарина";"9";"Архитектура";"Ул. Гагарина 46";"14"
"56.487073";"84.946617";;"400 лет томску";;"Памятник";"Центр пл. Ленина";"15"
"56.453618";"84.951267";;"Погибшим в ВОВ";;"Памятник";"Лагерный сад";"17"
"56.488615";"84.952712";;"Деревянному рублю";;"Памятник";"Ул. Бакунина 3";"18"
"56.477329";"84.991911";;"Счастью";;"Памятник";"Ул. Шевченко";"19"
"56.485356";"84.944925";;"А.П. Чехову";;"Памятник";"Набережная реки Томи";"20"
"56.488122";"84.948607";;"В.И. Ленину";;"Памятник";"Пл. Ленина, 14";"21"
"56.477286";"84.950398";;"А.С. Пушкину";;"Памятник";"Пушкинский сквер";"22"
"56.475566";"84.955654";;"""Покорение Сибири""";;"Памятник";"Ул. Крылова";"23"
"56.474275";"84.951431";;"Студенчеству Томска";;"Памятник";"Ново-Соборная площадь";"24"
"56.46096";"84.988857";;"Домашним тапочкам";;"Памятник";"Пр. Кирова, 65";"25"
"56.460782";"84.988739";;"Лягушке-путешественнице";;"Памятник";"Пр. Кирова, 65";"26"
"56.471459";"84.950791";;"""Младенец в капусте""";;"Памятник";"Пр. Ленина, 65";"28"
"56.482854";"84.948716";;"Николаю Путинцеву";;"Памятник";"Переулок Нахановича";"30"
"56.451329";"84.963092";;"""Древо Знаний""";;"Памятник";"Кировский район";"31"
"56.472996";"84.952757";;"Труженикам тыла";;"Памятник";"Ново-Соборная пл., 1";"32"
"56.474277";"84.97762";;"""Учительница первая моя""";;"Памятник";"Учительский сквер";"38"
"56.469486";"84.964886";;"250-летию переселения немцев";;"Памятник";"Сквер Российско-Немецкого дома";"45"
"56.482662";"84.948448";;"Аэлита";;"Кинотеатр";"Пр. Ленина, 78";"46"
"56.462317";"84.969289";;"Fакел";;"Кинотеатр";"Ул. Красноармейская, 120, ТРЦ «Факел»";"47"
"56.488794";"84.978487";;"Goodwin";;"Кинотеатр";"Комсомольский пр., 13б, ТРЦ «Изумрудный город»";"48"
"56.501471";"84.951709";;"Киномакс";;"Кинотеатр";"Ул. Розы Люксембург,  73";"49"
"56.465838";"84.961618";;"Октябрь";;"Кинотеатр";"Пр. Кирова, 15";"50"
"56.514062";"84.943174";;"Кинополис";;"Кинотеатр";"Пр. Ленина, 217, стр. 2, ТРЦ «Мегаполис»";"51"
"56.520056";"85.047801";;"Авангард";;"Театр";"Ул. Бела Куна, 20";"53"
"56.486837";"84.949957";;"Томская областная государственная филармония";;"Театр";"Пл. Ленина, 12А";"54"
"56.469462";"84.946773";;"Центр культуры ТГУ";;"Театр";"Пр. Ленина, 36";"55"
"56.472779";"85.044327";;"Летняя эстрада";;"Театр";"Микрорайон Академгородок";"56"
"56.482586";"84.948718";;"Аэлита";;"Театр";"Пр. Ленина, 78";"57"
"56.481509";"84.946697";;"Томская Гостиная";;"Музей";"Ул. Алексея Беленца, 5";"58"
"56.482662";"84.947406";;"Художественный музей";;"Музей";"Пер. Нахановича, 3";"59"
"56.487573";"84.947334";;"Томский Областной Театр Драмы";;"Театр";"Пл. Ленина, 4";"60"
"56.469418";"84.958198";;"Драматический театр Версия";;"Театр";"Ул. Белинского, 40";"61"
"56.461395";"84.989339";;"Ф.М. Зинченко";;"Памятник";"Пр. Кирова";"63"
"56.519962";"85.0466";;"И.С. Черных";;"Памятник";"Ул. Ивана Черных, 62/1";"65"
"56.47234";"84.950107";;"Беременной женщине";;"Памятник";"Александровский бульвар";"69"
"56.476608";"84.992491";;"""Семейные узы""";;"Памятник";"Ул. Шевченко";"70"
"56.462493";"84.943268";;"Пивоварам";;"Памятник";"Ул. Аркадия Иванова";"71"
"56.48874";"84.952724";;"Любовнику";;"Памятник";"Ул. Бакунина, 3";"72"
"56.469206";"84.948771";;"В.М. Флоринскому и Д.И. Менделееву";;"Памятник";"Университетская роща";"73"
"56.467046";"84.980464";;"П.В. Голубеву";;"Памятник";"Комсомольский проспект., 79";"75"
"56.494114";"84.944221";;"Стела памяти ";;"Памятник";"Пл. 1812 года";"76"
"56.487792";"84.980156";;"""Волшебник изумрудного города""";;"Памятник";"Комсомольский проспект";"77"
"56.47297";"84.950752";;"Слава воину-победителю""";;"Памятник";"Аллея Победы";"78"
"56.46647";"84.953372";;"Фёдору Еремееву и рудокопу";;"Памятник";"Советская улица";"79"
"56.460169";"84.970301";;"участникам студенческого строительного движения";;"Памятник";"Сквер Студенческих отрядов";"80"
"56.507004";"84.968311";;"Берёзовая роща";;"Парк";;"82"
"56.491340";"84.987669";;"Михайловская роща";;"Парк";;"83"
"56.510959";"85.060639";;"Солнечная роща";;"Парк";;"84"
"56.4696340";"84.9487650";;"Университетская роща";;"Парк";;"85"
"56.4736660";"85.0479570";;"Кедровая аллея";;"Парк";;"86"
"56.466494";"84.951907";;"Аллея Геологов";;"Парк";;"87"
"56.462406";"84.943615";;"Аллея пивоваров";;"Парк";;"88"
"56.468549";"84.960615";;"Игуменский Парк";;"Парк";;"89"
"56.477275";"84.950724";;"Пушкинский сквер";;"Парк";;"90"
"56.474386";"84.978117";;"Учительский сквер";;"Парк";;"91"
"56.472928";"84.951871";;"Аллея победы";;"Парк";;"92"
"56.460776";" 84.970418";;"Сквер Студенческих отрядов";;"Парк";;"93"
"56.453100";"84.996412";;"Ботанический сад";;"Парк";;"94"
"56.449380";"84.976864";;"Парк Сибирские Афины";;"Парк";;"95"
"56.453702";"84.948017";;"Лагерный сад";;"Парк";;"96"
"56.471525";"84.962177";;"Буфф сад";;"Парк";;"97"
"56.472505";"84.954716";;"Городской сад";;"Парк";;"98"
"56.483249";"84.947810";;"Театральный сквер";;"Парк";;"99"
"56.474117";"84.949697";"Главный корпус";"ГК";;"Корпус";"пр-т Ленина, 40";"135"
"56.454031";"84.978353";"Учебно-лабораторный корпус";"УЛК";;"Корпус";"ул. Красноармейская, 146";"136"
"56.451145";"84.963773";"Учебный корпус ФЭТ";"ФЭТ";;"Корпус";"ул. Вершинина, 74";"137"
"56.451807";"84.961653";"Учебный корпус РК";"РК";;"Корпус";"ул. Вершинина, 47";"139"
"56.450717";"84.965660";"Спортивно-образовательный комплекс";"СОК";;"Корпус";"ул. Вершинина, 76/1";"140"
"56.453150";"84.975640";"Студенческий бизнес-инкубатор";"«Дружба»";;"Корпус";"ул. Красноармейская, 147";"141"
"56.451498";"84.977033";"Магистры, аспиранты, особые успехи";"Общежитие №1";;"Общежитие";"ул. 19-й Гвардейской Дивизии, 9а";"142"
"56.466688";"84.977374";"Факультеты – ФЭТ, ФИТ, ЮФ";"Общежитие №3";;"Общежитие";"пр-т Кирова, 56а";"143"
"56.452488";"84.973592";"Факультеты – ФСУ, ЭФ";"Общежитие № 4";;"Общежитие";"ул. Ф. Лыткина, 10";"144"
"56.451558";"84.974913";"Факультеты – РКФ, ФВС, ФБ";"Общежитие № 5";;"Общежитие";"ул. Ф. Лыткина, 18";"145"
"56.452548";"84.974895";"Факультеты – РТФ, ГФ";"Общежитие № 6";;"Общежитие";"ул. Ф. Лыткина, 8";"146"
"56.451795";"84.974338";;"SOCHNO";;"Около общежитий";"ул Фёдора Лыткина, 16/1";"148"
"56.452203";"84.973173";;"Сарбон";;"Около общежитий";"улица Фёдора Лыткина, 12/2";"149"
"56.452206";"84.972831";;"Муслима";;"Около общежитий";"улица Фёдора Лыткина, 12/2";"150"
"56.451356";"84.969877";;"Ростовская шаурма";;"Около общежитий";"проезд Вершинина, 10";"151"
"56.466805";"84.975422";;"Coffe go";;"Около общежитий";"Киевская улица, 105";"152"
"56.466624";"84.974942";;"Pizza Roma";;"Около общежитий";"проспект Кирова, 50";"153"
